Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,baseline_price,competitor_price,Driver_to_Rider_Ratio,Rider_Driver_Ratio,Inventory_Health_Index,Cost_per_Min,Loyalty_Score,Supply_Tightness,Vehicle_Factor,Peak,p_complete,price
90,45,Urban,Silver,13,4.47,Night,Premium,90,284.25727302188227,284.25727302188227,298.4701366729764,0.49999999444444454,1.9999999555555568,0.4945054945054945,3.1584141095940907,0.1299999987,1.9999999555555568,1.5,1,0.49999999444444454,511.66308954433975
58,39,Suburban,Silver,72,4.06,Evening,Economy,43,173.87475274940766,173.87475274940766,182.56849038687804,0.6724137815101072,1.487179449046681,0.6610169491525424,4.0435988071118345,0.7199999928,1.487179449046681,1.0,1,0.6724137815101072,199.73304864910685
42,31,Rural,Silver,0,3.99,Afternoon,Premium,76,329.7954689622466,329.7954689622466,346.285242410359,0.7380952205215424,1.354838665972946,0.7209302325581395,4.339414008195166,0.0,1.354838665972946,1.5,0,0.7380952205215424,561.7161514252798
89,28,Rural,Regular,67,4.31,Afternoon,Premium,134,470.2012317513198,470.2012317513198,493.7112933388858,0.31460673803812655,3.178571315051024,0.3111111111111111,3.508964389868324,0.6699999933,3.178571315051024,1.5,0,0.31460673803812655,929.4870697589404
78,22,Rural,Regular,74,3.77,Afternoon,Economy,149,579.6814223640141,579.6814223640141,608.6654934822149,0.28205127843524,3.545454384297528,0.27848101265822783,3.8904793186143274,0.7399999926,3.545454384297528,1.0,0,0.28205127843524,785.2048264056463
59,35,Urban,Silver,83,3.51,Night,Economy,128,339.9553606047221,339.9553606047221,356.9531286349582,0.593220328928469,1.685714237551022,0.5833333333333334,2.655901233975163,0.8299999917,1.685714237551022,1.0,1,0.593220328928469,397.2621197550393
93,43,Suburban,Regular,44,4.41,Afternoon,Premium,16,104.06154127359152,104.06154127359152,109.2646183372711,0.4623655864261765,2.162790647376962,0.4574468085106383,6.5038459231090995,0.4399999956000001,2.162790647376962,1.5,0,0.4623655864261765,189.85181114311058
62,39,Rural,Gold,83,3.59,Afternoon,Premium,47,235.81186355605,235.81186355605,247.60245673385253,0.6290322479188347,1.5897435489809348,0.6190476190476191,5.017273585931414,0.8299999917,1.5897435489809348,1.5,0,0.6290322479188347,409.94985366328547
79,14,Rural,Silver,71,3.74,Evening,Economy,128,501.4125174833056,501.4125174833056,526.4831433574709,0.1772151876301875,5.642856739795947,0.175,3.9172852622345338,0.7099999929,5.642856739795947,1.0,1,0.1772151876301875,784.3524178531779
42,6,Rural,Silver,21,3.85,Night,Premium,128,398.9933645706103,398.9933645706103,418.94303279914084,0.1428571394557824,6.999998833333527,0.13953488372093023,3.117135636355271,0.2099999979,6.999998833333527,1.5,1,0.1428571394557824,1017.4330098312291
